Code,Name,Description,Cost,Nit
ATXI,Home,Games,10819.2,11-122-3052
BMY,Kids,Books,24176.7,56-520-6356
NGHCO,Baby,Home,23600.9,44-743-9788
DKL,Games,Music,38602.3,89-731-6206
GGT^B,Books,Garden,35998.0,75-161-5765
LW,Shoes,Clothing,9897.7,83-881-2702
WLL,Baby,Grocery,7882.0,29-138-5771
STAG^B,Garden,Electronics,16084.9,14-616-1319
CCRC,Home,Games,38193.4,49-853-2011
EQM,Computers,Computers,44521.1,26-867-8927
STML,Home,Garden,47221.6,89-836-5928
CYTX,Industrial,Movies,24343.5,49-296-4518
CGG,Clothing,Computers,45662.4,15-449-5117
WAYN,Garden,Automotive,29251.0,51-274-2081
AZN,Garden,Electronics,9689.5,19-883-6254
SNHNL,Clothing,Kids,33330.9,62-661-0833
GMLP,Kids,Grocery,45995.2,23-310-3275
NNBR,Industrial,Books,49830.0,20-246-8828
AFMD,Computers,Garden,40100.8,03-243-2676
BBK,Toys,Tools,46141.5,00-480-3236
ITIC,Health,Electronics,27254.2,75-692-7076
OAK,Jewelery,Health,22877.9,98-822-2213
FNJN,Movies,Home,44248.0,21-030-5742
CBL^E,Shoes,Industrial,20319.9,66-220-4636
VTNR,Movies,Grocery,23574.6,50-429-0924
NEO,Books,Garden,43307.4,16-626-6190
NUO,Garden,Automotive,14735.2,42-238-6840
LGCYO,Grocery,Kids,47396.9,56-575-9309
TNP^E,Jewelery,Grocery,48771.9,20-694-9021
MYJ,Sports,Music,18619.4,53-182-1111
MMSI,Outdoors,Toys,16520.9,13-640-9679
LFC,Grocery,Beauty,37569.2,86-404-7816
SIX,Kids,Beauty,30846.4,30-886-1651
BOLD,Music,Outdoors,21509.2,12-274-3926
IBKCP,Outdoors,Home,34348.5,87-429-8178
ORC,Sports,Industrial,38440.3,44-067-4086
PFI,Jewelery,Tools,21278.2,17-368-1112
GS^C,Clothing,Baby,27776.2,79-701-5005
PSTB,Electronics,Games,20222.6,05-064-2775
CVS,Baby,Computers,36219.7,42-736-9530
AAXN,Home,Outdoors,36853.8,23-198-1699
HBNC,Grocery,Grocery,31446.4,04-243-9483
TAX,Movies,Garden,18025.0,14-030-6338
PHG,Jewelery,Electronics,14823.5,80-222-2263
MFIN,Movies,Movies,38312.9,73-716-4517
TMK^C,Garden,Automotive,39792.2,50-150-1507
WVVI,Movies,Jewelery,47628.7,31-866-6445
BSF,Computers,Beauty,29767.1,14-501-9547
MPLX,Garden,Automotive,24666.9,43-316-4234
TTS,Garden,Games,15782.3,86-202-8933
IPAS,Books,Toys,8308.6,02-913-5390
PRA,Clothing,Tools,21192.8,57-334-1155
AKO.B,Clothing,Movies,30074.4,66-238-1761
FTXN,Automotive,Kids,24849.3,36-923-6653
MHNC,Clothing,Home,11936.0,38-056-4218
HCKT,Sports,Music,13720.1,15-332-7297
LITB,Outdoors,Beauty,36295.7,68-411-7678
JAKK,Grocery,Shoes,45885.3,03-349-4156
